Key_in,key_in_label
ReleaseDate,81
ReleaseDate,81
Shipper,85
OrdinalNumberValue,56
Description,29
ID,40
ExpectedArrivalDateTime,33
ExpectedArrivalDateTime,33
ExpectedDepartureDateTime,34
OrdinalNumberValue,56
JourneyID,44
transportMeansID,179
ExpectedDepartureDateTime,34
volume,183
weight,184
count,127
type,181
Description,29
haulageInstructions,138
cDate,114
cOrderRef,115
TransportMeansID,94
Voyage,101
Vessel,100
ExpectedArrivalDateTime,33
ExpectedDepartureDateTime,34
OrdinalNumberValue,56
JourneyID,44
AttributeValue,7
n0:TransportationOrderBookingRequest,146
AttributeName,6
ExpectedArrivalDateTime,33
ExpectedDepartureDateTime,34
ExpectedArrivalDateTime,33
ExpectedDepartureDateTime,34
AttributeValue,7
AttributeValue,7
AttributeValue,7
AttributeValue,7
AttributeValue,7
AttributeValue,7
RoleCode,83
ContainerNumber,22
ContainerType,23
Weight,102
ContainerCount,20
ContainerType,23
netweight,149
netweight,149
Package,62
packagetype,160
ArticleDesc,1
POR,61
orderRef,153
BookingNumber,11
FND,36
FND,36
POR,61
BookingNumber,11
Incoterm,42
Vessel,100
ETA,31
FND,36
POR,61
Carrier,15
